|Value|CT|Gender|20_24|25_29|30_34|35_39|40_44|45_49|50_54|55_59|60_64|65_69|70_74|75_79|80_84|85+|
|mean|stomach|Men|0|0|1|2|6|10|18|33|47|69|93|116|80|60|
|upper|stomach|Men|0|1|5|8|16|22|36|59|78|110|143|178|122|91|
|lower|stomach|Women|0|0|0|0|0|0|0|0|3|9|16|24|19|19|
|mean|stomach|Women|0|0|1|2|5|9|11|18|25|34|49|64|50|49|
|upper|stomach|Women|0|2|5|9|14|21|25|36|46|59|82|104|80|79|
|lower|thyroid|Men|0|0|0|0|0|0|0|0|0|1|3|2|1|0|
|mean|thyroid|Men|1|5|13|16|18|21|21|25|23|25|30|27|14|8|
|upper|thyroid|Men|7|14|30|35|38|44|44|51|46|49|57|51|27|16|
|lower|thyroid|Women|0|5|14|15|19|20|19|16|14|12|15|12|8|5|
|mean|thyroid|Women|15|31|58|60|64|67|63|58|47|44|50|44|28|23|
|upper|thyroid|Women|30|58|102|104|109|114|106|100|79|76|86|76|48|41|
|lower|UL|Men|0|0|0|0|0|0|0|1|4|11|18|25|20|15|
|mean|UL|Men|0|0|0|1|2|6|10|21|27|40|56|66|49|36|
|upper|UL|Men|1|2|3|5|8|15|24|42|50|69|93|108|79|57|
|lower|UL|Women|0|0|0|0|0|0|0|2|8|18|28|45|38|37|
|mean|UL|Women|0|0|0|1|4|8|15|25|35|53|74|103|83|85|
|upper|UL|Women|0|1|4|6|12|19|32|48|61|87|121|162|128|132|
|lower|prostata|Men|0|0|0|0|0|26|196|500|868|1116|1228|1041|511|241|
|mean|prostata|Men|0|0|0|0|8|79|391|978|1599|2075|2252|1958|940|445|
|upper|prostata|Men|0|0|0|1|19|132|587|1456|2329|3035|3276|2875|1369|649|
|lower|testicle|Men|5|17|22|22|12|6|0|0|0|0|0|0|0|0|
|mean|testicle|Men|31|62|81|70|48|35|21|12|7|4|3|1|1|1|
|upper|testicle|Men|58|108|139|118|83|63|41|27|18|12|10|5|3|3|
